label,label,nuclei_area,nuclei_i,nuclei_j,nuclei_bounds,foci_count,foci_area,nucleus_number_neighbors_1,nucleus_percent_touching_1,nucleus_first_neighbor_distance,nucleus_second_neighbor_distance,nucleus_angle_between_neighbors
114,114,1746.0,876.262313860252,392.35681557846505,"(848, 372, 904, 418)",0,0,0,0.0,81.97049364953502,83.94416446458105,160.3135655106089
115,115,2288.0,890.2185314685315,954.9938811188811,"(856, 934, 929, 973)",8,114,0,0.0,116.26356655092397,134.71364431466648,155.72301343031717
116,116,1866.0,889.7974276527331,278.6339764201501,"(865, 252, 919, 302)",1,21,1,0.15196078431372548,42.2428100642425,100.83988884220773,135.57903297544232
117,117,2027.0,948.2496299950666,798.4977799703996,"(918, 778, 973, 825)",5,36,0,0.0,77.60996252233655,81.02093774273004,108.99881084045253
118,118,2320.0,963.5237068965517,2019.3073275862068,"(928, 1998, 999, 2042)",0,0,0,0.0,134.7216889924995,270.4937452757786,162.68230677361294
119,119,1400.0,952.63,357.5057142857143,"(932, 337, 973, 379)",1,16,0,0.0,72.9177146806876,83.94416446458105,126.18022499060201
120,120,1566.0,954.2624521072797,546.7100893997446,"(934, 523, 973, 571)",0,0,0,0.0,103.43153172839179,103.61845691572805,149.01531092343373
121,121,1567.0,955.8806636885769,1180.9521378430122,"(935, 1156, 973, 1206)",1,13,0,0.0,92.20891193458735,102.17228283753289,42.41697756112721
122,122,902.0,955.9467849223947,650.3148558758315,"(940, 632, 973, 669)",0,0,0,0.0,71.22024306385136,92.23235623144876,96.45412976513225
123,123,903.0,958.0177187153931,721.5049833887043,"(941, 705, 973, 738)",0,0,0,0.0,71.22024306385136,77.60996252233655,171.10322929168885
124,124,1563.0,999.8470889315419,916.2795905310301,"(972, 896, 1029, 938)",1,15,0,0.0,84.64069232908021,101.64118415068256,93.34641279387316
125,125,1528.0,1006.0615183246073,457.1839005235602,"(983, 434, 1031, 479)",0,0,1,0.24175824175824176,35.52692913636171,64.80693625574334,14.209016483891707
